Security,Name,Sector,INDUSTRY,Year,Quarter,Index,Closing Stock Price,SP Volatility,MC RAW,Log MCap,PB RAW,Book to Mkt,ROA,Total Assets,Asset Growth,ESGCombinedScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore,ESG Momentum,ESG Mom-Env,ESG Mom - Gov,ESG Mom - Social
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2018,Q3,2018-Q3,27.8395,3.420502196,4332813824,22.18948301,1.192626953,0.838485159,0.737866998,21894.00064,-0.02027114,0.299249274,0.239375089,0.386178964,0.31379149,-0.016504951,-0.007747033,0.002845631,-0.041003672
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2018,Q4,2018-Q4,28.7335,2.412626731,4430725632,22.21182921,1.133100986,0.882533871,1.041015983,22648.99994,0.0344843,0.299249274,0.239375089,0.386178964,0.31379149,-0.016504951,-0.007747033,0.002845631,-0.041003672
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2019,Q1,2019-Q1,33.7935,3.644811222,5159705600,22.36414536,1.371631026,0.729059041,1.453578949,23344.00102,0.03068573,0.319924584,0.27041327,0.571475699,0.206600804,0.02067531,0.031038181,0.185296735,-0.107190685
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2019,Q2,2019-Q2,33.4396,3.962020334,5058420736,22.34432016,1.323335052,0.755666525,1.52352798,23598.99955,0.010923514,0.319924584,0.27041327,0.571475699,0.206600804,0.02067531,0.031038181,0.185296735,-0.107190685
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2019,Q3,2019-Q3,37.0407,3.799139724,5564491776,22.43967149,1.402765036,0.712877763,2.292465925,23472.00102,-0.005381522,0.319924584,0.27041327,0.571475699,0.206600804,0.02067531,0.031038181,0.185296735,-0.107190685
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2019,Q4,2019-Q4,38.3325,0.95985584,5708773888,22.46527011,1.426741004,0.700898059,2.466926098,23157.00019,-0.01342028,0.319924584,0.27041327,0.571475699,0.206600804,0.02067531,0.031038181,0.185296735,-0.107190685
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2020,Q1,2020-Q1,30.2715,1.949110462,4468485120,22.22031529,1.083835006,0.92264966,2.277621031,21703.00006,-0.062788795,0.352771388,0.451851852,0.438009012,0.168876649,0.032846804,0.181438581,-0.133466687,-0.037724155
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2020,Q2,2020-Q2,31.6367,3.099987706,4600962560,22.24953137,1.14328301,0.874674067,2.146517038,21870.00013,0.007694792,0.352771388,0.451851852,0.438009012,0.168876649,0.032846804,0.181438581,-0.133466687,-0.037724155
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2020,Q3,2020-Q3,30.5676,2.845973903,4416777728,22.20867625,1.093019009,0.914897172,1.657312036,21781.99962,-0.0040238,0.352771388,0.451851852,0.438009012,0.168876649,0.032846804,0.181438581,-0.133466687,-0.037724155
ACO/X CN Equity,Atco Ltd/Canada,Utilities,Service,2020,Q4,2020-Q4,29.3054,1.247115117,4201691648,22.15875305,1.031517982,0.969445048,1.188583016,22107.00083,0.014920633,0.352771388,0.451851852,0.438009012,0.168876649,0.032846804,0.181438581,-0.133466687,-0.037724155
